time_step,ground_truth_AUCROC,raw_AUCROC,raw_AUCROC_UB,raw_AUCROC_LB,filtered_AUCROC,filtered_AUCROC_UB,filtered_AUCROC_LB
0,0.83242912,0.8315999999999999,0.83194858456217,0.8312514154378298,0.8158,0.8159742922810851,0.8156257077189148
1,0.83242912,0.8018245992873302,0.8023159917312058,0.8013332068434545,0.8119948144348648,0.8121286094846595,0.81186101938507
2,0.83242912,0.8149682651622003,0.8153905228501934,0.8145460074742072,0.8134000112932558,0.813599562330421,0.8132004602560906
3,0.83242912,0.837075402405979,0.837472734230696,0.836678070581262,0.8222322668960391,0.8223804940665349,0.8220840397255433
4,0.83242912,0.8408412402825811,0.8411902626625852,0.840492217902577,0.8302715148310503,0.8304222957145219,0.8301207339475788
5,0.83242912,0.8400618728067475,0.8404978582451403,0.8396258873683546,0.8334763607182134,0.8336190793136483,0.8333336421227785
6,0.83242912,0.8222273284313725,0.8228030459584346,0.8216516109043104,0.8294945964368062,0.8296983803203424,0.8292908125532701
7,0.83242912,0.8423691325674427,0.8428559042371048,0.8418823608977807,0.835320608249118,0.8355408831754202,0.8351003333228159
8,0.83242912,0.825766682992228,0.8263135518953064,0.8252198140891496,0.8320081531058371,0.8321977588084143,0.8318185474032599
9,0.83242912,0.817554393517497,0.8182934698542911,0.816815317180703,0.826997310261287,0.8272535339345234,0.8267410865880506
10,0.83242912,0.8217494869539725,0.8225525140543778,0.8209464598535673,0.8248985938428485,0.8252197414999586,0.8245774461857384
11,0.83242912,0.8279396373260055,0.8286032082027,0.8272760664493111,0.8262636058171919,0.8265614582476258,0.825965753386758
12,0.83242912,0.8156985157810388,0.816801879449882,0.8145951521121956,0.8233692558986303,0.823671526918956,0.8230669848783047
13,0.83242912,0.8487331979499081,0.8498500645775318,0.8476163313222844,0.8348913095825276,0.8353986675166853,0.8343839516483698
14,0.83242912,0.8206432105552501,0.8220456538362699,0.8192407672742303,0.8300310359248679,0.8305094336481048,0.829552638201631
15,0.83242912,0.8327868852459016,0.8342505290518751,0.8313232414399281,0.8312391827425775,0.8318808348797067,0.8305975306054483
16,0.83242912,0.8135675055827147,0.8158946030418126,0.8112404081236169,0.8256494748502146,0.8263855563729667,0.8249133933274624
17,0.83242912,0.7969207278279679,0.8005393042585529,0.7933021513973828,0.814471104341862,0.815879094325642,0.813063114358082
18,0.83242912,0.8069727891156463,0.8137795413387198,0.8001660368925728,0.8116913802421162,0.8142147328386201,0.8091680276456122
19,0.83242912,0.6453900709219859,0.7535738513721862,0.5372062904717855,0.7824911225231359,0.8014867292509119,0.7634955157953599
20,0.83242912,0.8361842105263158,0.8409192775597495,0.831449143492882,0.8221059518948094,0.82559949044081,0.8186124133488087
21,0.83242912,0.8388157894736843,0.8411186991005405,0.8365128798468281,0.8279589922655574,0.8287656442125048,0.82715234031861
22,0.83242912,0.8378229037159829,0.8428590702330195,0.8327867371989462,0.8302968022392496,0.8314904058489206,0.8291031986295786
23,0.83242912,0.791545793617903,0.7968754469673042,0.7862161402685018,0.81406264637299,0.8162954249835485,0.8118298677624315
24,0.83242912,0.8648923792902851,0.8679807944141595,0.8618039641664106,0.8401661289814554,0.8417521768681313,0.8385800810947794
25,0.83242912,0.8223007218553218,0.8263040524140722,0.8182973912965713,0.8350988262754339,0.8362343216845354,0.8339633308663323
26,0.83242912,0.835355552142528,0.8403363617593618,0.8303747425256942,0.8351926319562083,0.8370125819371101,0.8333726819753065
27,0.83242912,0.88720703125,0.8890557474468908,0.8853583150531092,0.868710506827276,0.8699018122927011,0.8675192013618509
28,0.83242912,0.850909090909091,0.8547416652673926,0.8470765165507893,0.8659743342330534,0.8665634213580721,0.8653852471080347
29,0.83242912,0.8941991341991342,0.8965720249245704,0.891826243473698,0.882274301761027,0.8836446583913138,0.8809039451307401
30,0.83242912,0.7461139896373057,0.7569052303974046,0.7353227488772067,0.8699989034719474,0.8709717771110971,0.8690260298327978
31,0.83242912,0.8349370836417469,0.8386859413506572,0.8311882259328366,0.8446252678656558,0.8473382516727255,0.8419122840585862
32,0.83242912,0.8010335917312662,0.8081950342336887,0.7938721492288437,0.8387790666848078,0.8397395076984813,0.8378186256711344
33,0.83242912,0.7356099656357389,0.7466958970856987,0.724524034185779,0.7999188406156369,0.8040945269204722,0.7957431543108016
34,0.83242912,0.8631872852233676,0.8663352255771044,0.8600393448696309,0.8433859711671311,0.8455486912272269,0.8412232511070353
35,0.83242912,0.8078990418322038,0.8165619557534577,0.79923612791095,0.8394919078296419,0.840442509533672,0.8385413061256117
36,0.83242912,0.8546153846153846,0.8587278635122753,0.8505029057184939,0.8496690540637318,0.8524364930403118,0.8469016150871519
37,0.83242912,0.8607692307692307,0.8703814906735579,0.8511569708649036,0.8510316325301738,0.8522115649498975,0.8498517001104501
38,0.83242912,0.7371412333049162,0.7526152459346717,0.7216672206751608,0.8081147791935717,0.8139457880852559,0.8022837703018875
39,0.83242912,0.8160076530612245,0.8305943869686849,0.801420919153764,0.811477021575377,0.8176907449641135,0.8052632981866406
40,0.69516808,0.6750637755102041,0.684253478322618,0.6658740726977903,0.7464421079682672,0.7508232919494386,0.7420609239870957
41,0.69516808,0.4836737189678366,0.49997998662223997,0.46736745131343327,0.7060523319617792,0.7085587464531438,0.7035459174704146
42,0.69516808,0.7274826789838338,0.7352603237347368,0.7197050342329308,0.718089776136934,0.7224584858179687,0.7137210664558994
43,0.69516808,0.7233237415743623,0.728650944650662,0.7179965384980626,0.7198363516443771,0.7216140405740181,0.7180586627147361
44,0.69516808,0.7437366737739872,0.747524390169934,0.7399489573780405,0.7302322157017884,0.7318797493428312,0.7285846820607457
45,0.69516808,0.6355565803885398,0.6390125544143401,0.6321006063627395,0.6976201080909474,0.6988105579512179,0.6964296582306769
